,index,name,country_y,LON,LAT,geometry_y,bidding_zone_y,NUTS_NAME,NUTS_ID
271,271,GB5 23,UK,-1179657.0,5367652825,POINT (-1179657 5367652825),UK,Yorkshire and the Humber,UKE
272,272,GB5 24,UK,-4313114714.0,5576896186,POINT (-4313114714 5576896186),UK,Scotland,UKM
273,273,GB5 25,UK,-0.7113645,533189535,POINT (-0.7113645 533189535),UK,East Midlands (England),UKF
274,274,GB5 26,UK,-2033821077.0,5229529549,POINT (-2033821077 5229529549),UK,West Midlands (England),UKG
275,275,GB5 27,UK,-1785965.0,53750643,POINT (-1785965 53750643),UK,Yorkshire and the Humber,UKE
276,276,GB5 28,UK,-2971802.0,5493661,POINT (-2971802 5493661),UK,North West (England),UKD
277,277,GB5 29,UK,-0.196381,50948045,POINT (-0.196381 50948045),UK,South East (England),UKJ
278,278,GB5 3,UK,-0.284271333,5373743717,POINT (-0.284271333 5373743717),UK,Yorkshire and the Humber,UKE
279,279,GB5 30,UK,-1199569667.0,5462956217,POINT (-1199569667 5462956217),UK,North East (England),UKC
280,280,GB5 31,UK,-26909635.0,533402815,POINT (-26909635 533402815),UK,North West (England),UKD
281,281,GB5 32,UK,-0.118213587,5291252632,POINT (-0.118213587 5291252632),UK,East Midlands (England),UKF
282,282,GB5 33,UK,-2528229.0,50628558,POINT (-2528229 50628558),UK,South West (England),UKK
283,283,GB5 34,UK,-0.293884,52242938,POINT (-0.293884 52242938),UK,East of England,UKH
284,284,GB5 35,UK,-2051697.0,5160095833,POINT (-2051697 5160095833),UK,South West (England),UKK
285,285,GB5 36,UK,-1383216436.0,5336237211,POINT (-1383216436 5336237211),UK,Yorkshire and the Humber,UKE
286,286,GB5 37,UK,-3735547714.0,56044193,POINT (-3735547714 56044193),UK,Scotland,UKM
287,287,GB5 38,UK,-0.006554644,5178911525,POINT (-0.006554644 5178911525),UK,East of England,UKH
288,288,GB5 39,UK,0.7312775,5137906,POINT (0.7312775 5137906),UK,South East (England),UKJ
289,289,GB5 4,UK,-3613586667.0,5149616733,POINT (-3613586667 5149616733),UK,Wales,UKL
290,290,GB5 40,UK,-1053314.0,50900435,POINT (-1053314 50900435),UK,South East (England),UKJ
291,291,GB5 41,UK,-4077748902.0,5675781567,POINT (-4077748902 5675781567),UK,Scotland,UKM
292,292,GB5 42,UK,-2988281.0,56567806,POINT (-2988281 56567806),UK,Scotland,UKM
293,293,GB5 43,UK,-18039552.0,525484002,POINT (-18039552 525484002),UK,West Midlands (England),UKG
294,294,GB5 44,UK,-0.74295,52266477,POINT (-0.74295 52266477),UK,East Midlands (England),UKF
295,295,GB5 45,UK,-39365385.0,51699767,POINT (-39365385 51699767),UK,Wales,UKL
296,296,GB5 46,UK,-0.669163279,5363749937,POINT (-0.669163279 5363749937),UK,Yorkshire and the Humber,UKE
297,297,GB5 47,UK,-27774815.0,53799392,POINT (-27774815 53799392),UK,North West (England),UKD
298,298,GB5 48,UK,-3886414.0,52860839,POINT (-3886414 52860839),UK,Wales,UKL
299,299,GB5 49,UK,-15270996.0,5504175,POINT (-15270996 5504175),UK,North East (England),UKC
300,300,GB5 5,UK,-2177619617.0,5735657806,POINT (-2177619617 5735657806),UK,Scotland,UKM
301,301,GB5 50,UK,-43341065.0,574371865,POINT (-43341065 574371865),UK,Scotland,UKM
302,302,GB5 51,UK,1024475.0,52041511,POINT (1024475 52041511),UK,East of England,UKH
303,303,GB5 52,UK,-2552948.0,515365125,POINT (-2552948 515365125),UK,South West (England),UKK
304,304,GB5 53,UK,-44673155.0,55453096,POINT (-44673155 55453096),UK,Scotland,UKM
305,305,GB5 54,UK,-327107304.0,5156462478,POINT (-327107304 5156462478),UK,Wales,UKL
306,306,GB5 55,UK,-193222.0,50805935,POINT (-193222 50805935),UK,South West (England),UKK
307,307,GB5 56,UK,-29841615.0,57472248,POINT (-29841615 57472248),UK,Scotland,UKM
308,308,GB5 57,UK,-2133636667.0,53233439,POINT (-2133636667 53233439),UK,North West (England),UKD
309,309,GB5 58,UK,-15930175.0,52790696,POINT (-15930175 52790696),UK,East Midlands (England),UKF
310,310,GB5 59,UK,-2276917.0,55677584,POINT (-2276917 55677584),UK,Scotland,UKM
311,311,GB5 6,UK,-421875.0,53148418,POINT (-421875 53148418),UK,Wales,UKL
312,312,GB5 60,UK,-0.878906,51216347,POINT (-0.878906 51216347),UK,South East (England),UKJ
313,313,GB5 61,UK,-3863220333.0,5570908022,POINT (-3863220333 5570908022),UK,Scotland,UKM
314,314,GB5 62,UK,-4925995.0,50368241,POINT (-4925995 50368241),UK,South West (England),UKK
315,315,GB5 63,UK,0.431213,50870111,POINT (0.431213 50870111),UK,South East (England),UKJ
316,316,GB5 64,UK,-3851395.0,504942105,POINT (-3851395 504942105),UK,South West (England),UKK
317,317,GB5 65,UK,-497818.0,56415421,POINT (-497818 56415421),UK,Scotland,UKM
318,318,GB5 66,UK,0.041199,515885595,POINT (0.041199 515885595),UK,London,UKI
319,319,GB5 67,UK,-2980041667.0,53352665,POINT (-2980041667 53352665),UK,North West (England),UKD
320,320,GB5 68,UK,-2206525741.0,5247604242,POINT (-2206525741 5247604242),UK,West Midlands (England),UKG
321,321,GB5 69,UK,-4804687333.0,5578314133,POINT (-4804687333 5578314133),UK,Scotland,UKM
322,322,GB5 7,UK,-1876602.0,55048848,POINT (-1876602 55048848),UK,North East (England),UKC
323,323,GB5 70,UK,0.507431,515480345,POINT (0.507431 515480345),UK,East of England,UKH
324,324,GB5 71,UK,-0.300293,5133115367,POINT (-0.300293 5133115367),UK,South East (England),UKJ
325,325,GB5 72,UK,0.303497,52288323,POINT (0.303497 52288323),UK,East of England,UKH
326,326,GB5 73,UK,0.95958725,5114011125,POINT (0.95958725 5114011125),UK,South East (England),UKJ
327,327,GB5 74,UK,-31801985.0,5090426575,POINT (-31801985 5090426575),UK,South West (England),UKK
328,328,GB5 75,UK,-0.96817,51977216,POINT (-0.96817 51977216),UK,South East (England),UKJ
329,329,GB5 76,UK,-1117859.0,51324605,POINT (-1117859 51324605),UK,South East (England),UKJ
330,330,GB5 77,UK,-4850464.0,51728729,POINT (-4850464 51728729),UK,Wales,UKL
331,331,GB5 78,UK,-275722525.0,541057525,POINT (-275722525 541057525),UK,North West (England),UKD
332,332,GB5 79,UK,-4167938.0,51011163,POINT (-4167938 51011163),UK,South West (England),UKK
333,333,GB5 8,UK,0.575409,51430896,POINT (0.575409 51430896),UK,South East (England),UKJ
334,334,GB5 80,UK,-1533508333.0,5388125133,POINT (-1533508333 5388125133),UK,Yorkshire and the Humber,UKE
335,335,GB5 81,UK,-34991455.0,5525875,POINT (-34991455 5525875),UK,Scotland,UKM
336,336,GB5 82,UK,-2184906.0,5381849,POINT (-2184906 5381849),UK,North West (England),UKD
337,337,GB5 83,UK,-0.7124634,515025408,POINT (-0.7124634 515025408),UK,South East (England),UKJ
338,338,GB5 84,UK,-1167297.0,52532096,POINT (-1167297 52532096),UK,East Midlands (England),UKF
339,339,GB5 85,UK,-1510162333.0,54742274,POINT (-1510162333 54742274),UK,North East (England),UKC
340,340,GB5 86,UK,0.296356,51486798,POINT (0.296356 51486798),UK,East of England,UKH
341,341,GB5 87,UK,-11089325.0,529005985,POINT (-11089325 529005985),UK,East Midlands (England),UKF
342,342,GB5 88,UK,-2780914333.0,5352094767,POINT (-2780914333 5352094767),UK,North West (England),UKD
343,343,GB5 89,UK,0.107116667,51322001,POINT (0.107116667 51322001),UK,South East (England),UKJ
344,344,GB5 9,UK,-1238708333.0,5166938833,POINT (-1238708333 5166938833),UK,South East (England),UKJ
345,345,GB5 90,UK,-212654125.0,5350494275,POINT (-212654125 5350494275),UK,North West (England),UKD
346,346,GB5 91,UK,-2289276.0,51893444,POINT (-2289276 51893444),UK,South West (England),UKK
347,347,GB5 92,UK,-3217621.0,55060282,POINT (-3217621 55060282),UK,Scotland,UKM
348,348,GB5 93,UK,-1306.0,50847569,POINT (-1306 50847569),UK,,
349,349,GB5 94,UK,-0.060425,5159581933,POINT (-0.060425 5159581933),UK,London,UKI
350,350,GB5 95,UK,-0.1730345,535802725,POINT (-0.1730345 535802725),UK,Yorkshire and the Humber,UKE
351,351,GB5 96,UK,-1581246571.0,5337492471,POINT (-1581246571 5337492471),UK,Yorkshire and the Humber,UKE
352,352,GB5 97,UK,-0.96027375,5389226975,POINT (-0.96027375 5389226975),UK,Yorkshire and the Humber,UKE
353,353,GB5 98,UK,-4946594.0,55072864,POINT (-4946594 55072864),UK,Scotland,UKM
354,354,GB5 99,UK,-328868875.0,5179545,POINT (-328868875 5179545),UK,Wales,UKL
355,355,NL0 0,NL,4272308.0,5182814,POINT (4272308 5182814),NL,West-Nederland,NL3
356,356,NL0 1,NL,6498413.0,52996603,POINT (6498413 52996603),NL,Noord-Nederland,NL1
357,357,NL0 10,NL,466507.0,52490307,POINT (466507 52490307),NL,West-Nederland,NL3
358,358,NL0 11,NL,6020508.0,53216724,POINT (6020508 53216724),NL,Noord-Nederland,NL1
359,359,NL0 12,NL,4224243.0,51423189,POINT (4224243 51423189),NL,West-Nederland,NL3
360,360,NL0 13,NL,5462952.0,51422333,POINT (5462952 51422333),NL,Zuid-Nederland,NL4
361,361,NL0 14,NL,5671692.0,51908696,POINT (5671692 51908696),NL,Oost-Nederland,NL2
362,362,NL0 15,NL,6260834.0,52000101,POINT (6260834 52000101),NL,Oost-Nederland,NL2
363,363,NL0 16,NL,4519501.0,52033063,POINT (4519501 52033063),NL,West-Nederland,NL3
364,364,NL0 17,NL,6936493.0,53145947,POINT (6936493 53145947),NL,Noord-Nederland,NL1
365,365,NL0 18,NL,4308014.0,52017853,POINT (4308014 52017853),NL,West-Nederland,NL3
366,366,NL0 19,NL,4051208.0,51942572,POINT (4051208 51942572),NL,West-Nederland,NL3
367,367,NL0 2,NL,5918884.0,5164785,POINT (5918884 5164785),NL,Zuid-Nederland,NL4
368,368,NL0 20,NL,5859833.0,52976762,POINT (5859833 52976762),NL,Noord-Nederland,NL1
369,369,NL0 21,NL,6473694.0,53216724,POINT (6473694 53216724),NL,Noord-Nederland,NL1
370,370,NL0 22,NL,4887543.0,52434246,POINT (4887543 52434246),NL,West-Nederland,NL3
371,371,NL0 23,NL,4592285.0,51916321,POINT (4592285 51916321),NL,West-Nederland,NL3
372,372,NL0 24,NL,4833984.0,51704055,POINT (4833984 51704055),NL,Zuid-Nederland,NL4
373,373,NL0 25,NL,6991425.0,53279995,POINT (6991425 53279995),NL,Noord-Nederland,NL1
374,374,NL0 26,NL,5763702.0,52619725,POINT (5763702 52619725),NL,Oost-Nederland,NL2
375,375,NL0 27,NL,5141602.0,51589869,POINT (5141602 51589869),NL,Zuid-Nederland,NL4
376,376,NL0 28,NL,5879059.0,53176412,POINT (5879059 53176412),NL,Noord-Nederland,NL1
377,377,NL0 29,NL,4209137.0,51976422,POINT (4209137 51976422),NL,West-Nederland,NL3
378,378,NL0 3,NL,49617.0,52333661,POINT (49617 52333661),NL,West-Nederland,NL3
379,379,NL0 30,NL,683075.0,53437355,POINT (683075 53437355),NL,Noord-Nederland,NL1
380,380,NL0 31,NL,6777191.0,53425901,POINT (6777191 53425901),NL,Noord-Nederland,NL1
381,381,NL0 32,NL,4678802.0,52352119,POINT (4678802 52352119),NL,West-Nederland,NL3
382,382,NL0 33,NL,6133118.0,52502012,POINT (6133118 52502012),NL,Oost-Nederland,NL2
383,383,NL0 4,NL,6863708.0,53418536,POINT (6863708 53418536),NL,Noord-Nederland,NL1
384,384,NL0 5,NL,5535736.0,5257635,POINT (5535736 5257635),NL,Oost-Nederland,NL2
385,385,NL0 6,NL,4750214.0,51807766,POINT (4750214 51807766),NL,West-Nederland,NL3
386,386,NL0 7,NL,6734619.0,52245461,POINT (6734619 52245461),NL,Oost-Nederland,NL2
387,387,NL0 8,NL,5896912.0,51140586,POINT (5896912 51140586),NL,Zuid-Nederland,NL4
388,388,NL0 9,NL,6144104.0,5252207,POINT (6144104 5252207),NL,Oost-Nederland,NL2
389,389,NO3 0,NO,94121935.0,5921267625,POINT (94121935 5921267625),NO2,Norge,NO0
390,390,NO3 1,NO,13289337.0,65841586,POINT (13289337 65841586),NO4,Norge,NO0
391,391,NO3 10,NO,7675323667.0,5951247333,POINT (7675323667 5951247333),NO2,Norge,NO0
392,392,NO3 11,NO,8136063.0,6260367,POINT (8136063 6260367),NO3,Norge,NO0
393,393,NO3 12,NO,15803833.0,67443359,POINT (15803833 67443359),NO4,Norge,NO0
394,394,NO3 13,NO,10511856.0,60998248,POINT (10511856 60998248),NO1,Norge,NO0
395,395,NO3 14,NO,60582735.0,613422445,POINT (60582735 613422445),NO3,Norge,NO0
396,396,NO3 15,NO,6845856.0,62482512,POINT (6845856 62482512),NO3,Norge,NO0
397,397,NO3 16,NO,112946315.0,592327725,POINT (112946315 592327725),NO1,Norge,NO0
398,398,NO3 17,NO,8102417.0,582445,POINT (8102417 582445),NO2,Norge,NO0
399,399,NO3 18,NO,92010495.0,616800625,POINT (92010495 616800625),NO3,Norge,NO0
400,400,NO3 19,NO,60732422.0,605571786,POINT (60732422 605571786),NO5,Norge,NO0
401,401,NO3 2,NO,7989807.0,60571059,POINT (7989807 60571059),NO5,Norge,NO0
402,402,NO3 20,NO,11288452.0,60383326,POINT (11288452 60383326),NO1,Norge,NO0
403,403,NO3 21,NO,58818055.0,586701615,POINT (58818055 586701615),NO2,Norge,NO0
404,404,NO3 22,NO,8725891.0,6030208133,POINT (8725891 6030208133),NO5,Norge,NO0
405,405,NO3 23,NO,11522827.0,64070959,POINT (11522827 64070959),NO3,Norge,NO0
406,406,NO3 24,NO,52149352.0,60526491,POINT (52149352 60526491),NO5,Norge,NO0
407,407,NO3 25,NO,130435185.0,648619435,POINT (130435185 648619435),NO4,Norge,NO0
408,408,NO3 26,NO,105770875.0,59421564,POINT (105770875 59421564),NO1,,
409,409,NO3 27,NO,8782196.0,58576129,POINT (8782196 58576129),NO2,Norge,NO0
410,410,NO3 28,NO,9922028.0,59722485,POINT (9922028 59722485),NO1,Norge,NO0
411,411,NO3 29,NO,6908855625.0,5894314325,POINT (6908855625 5894314325),NO2,Norge,NO0
412,412,NO3 3,NO,59896085.0,598968485,POINT (59896085 598968485),NO2,Norge,NO0
413,413,NO3 30,NO,5417633.0,594635015,POINT (5417633 594635015),NO2,Norge,NO0
414,414,NO3 31,NO,101534275.0,602608755,POINT (101534275 602608755),NO1,Norge,NO0
415,415,NO3 32,NO,6200409.0,62198186,POINT (6200409 62198186),NO3,Norge,NO0
416,416,NO3 33,NO,11160736.0,60817468,POINT (11160736 60817468),NO1,Norge,NO0
417,417,NO3 34,NO,10287323.0,59887559,POINT (10287323 59887559),NO1,Norge,NO0
418,418,NO3 35,NO,11017914.0,6345726,POINT (11017914 6345726),NO3,Norge,NO0
419,419,NO3 36,NO,6743251286.0,5959318871,POINT (6743251286 5959318871),NO2,Norge,NO0
420,420,NO3 37,NO,1036834725.0,6364002975,POINT (1036834725 6364002975),NO3,Norge,NO0
421,421,NO3 38,NO,7032935716.0,6081985195,POINT (7032935716 6081985195),NO5,Norge,NO0
422,422,NO3 39,NO,1391922.0,6637802067,POINT (1391922 6637802067),NO4,Norge,NO0
423,423,NO3 4,NO,17288361.0,68158786,POINT (17288361 68158786),NO4,Norge,NO0
424,424,NO3 5,NO,9596557667.0,6325745133,POINT (9596557667 6325745133),NO3,Norge,NO0
425,425,NO3 6,NO,108304595.0,598404665,POINT (108304595 598404665),NO1,Norge,NO0
426,426,NO3 7,NO,67771915.0,5832749,POINT (67771915 5832749),NO2,Norge,NO0
427,427,NO3 8,NO,7377319.0,610960515,POINT (7377319 610960515),NO5,Norge,NO0
428,428,NO3 9,NO,11726532.0,63035662,POINT (11726532 63035662),NO3,Norge,NO0
429,429,PL0 0,PL,202701153.0,5225793229,POINT (202701153 5225793229),PL,Makroregion województwo mazowieckie,PL9
430,430,PL0 1,PL,1665993058.0,5403351867,POINT (1665993058 5403351867),PL,Makroregion północno-zachodni,PL4
431,431,PL0 10,PL,22472534.0,53938305,POINT (22472534 53938305),PL,Makroregion północny,PL6
432,432,PL0 11,PL,1530986309.0,5192865582,POINT (1530986309 5192865582),PL,Makroregion północno-zachodni,PL4
433,433,PL0 12,PL,1948997483.0,515212455,POINT (1948997483 515212455),PL,Makroregion centralny,PL7
434,434,PL0 13,PL,1927543585.0,4997221446,POINT (1927543585 4997221446),PL,Makroregion południowy,PL2
435,435,PL0 14,PL,21905365.0,49636509,POINT (21905365 49636509),PL,Makroregion wschodni,PL8
436,436,PL0 15,PL,1704437267.0,5105969933,POINT (1704437267 5105969933),PL,Makroregion południowo-zachodni,PL5
437,437,PL0 16,PL,20480347.0,5382443467,POINT (20480347 5382443467),PL,Makroregion północny,PL6
438,438,PL0 17,PL,2123474133.0,52258332,POINT (2123474133 52258332),PL,Makroregion województwo mazowieckie,PL9
439,439,PL0 18,PL,1698277568.0,5229786788,POINT (1698277568 5229786788),PL,Makroregion północno-zachodni,PL4
440,440,PL0 19,PL,2093170167.0,4993938467,POINT (2093170167 4993938467),PL,Makroregion południowy,PL2
441,441,PL0 2,PL,2004530869.0,4999353092,POINT (2004530869 4999353092),PL,Makroregion południowy,PL2
442,442,PL0 20,PL,1456192017.0,5346236683,POINT (1456192017 5346236683),PL,Makroregion północno-zachodni,PL4
443,443,PL0 21,PL,218559265.0,530577235,POINT (218559265 530577235),PL,Makroregion województwo mazowieckie,PL9
444,444,PL0 22,PL,222789.0,5209132,POINT (222789 5209132),PL,Makroregion województwo mazowieckie,PL9
445,445,PL0 23,PL,179159545.0,531611625,POINT (179159545 531611625),PL,Makroregion północny,PL6
446,446,PL0 24,PL,18257904.0,52201371,POINT (18257904 52201371),PL,Makroregion północno-zachodni,PL4
447,447,PL0 25,PL,23049316.0,53054422,POINT (23049316 53054422),PL,Makroregion wschodni,PL8
448,448,PL0 26,PL,20464325.0,50798978,POINT (20464325 50798978),PL,Makroregion centralny,PL7
449,449,PL0 27,PL,1881866433.0,51052458,POINT (1881866433 51052458),PL,Makroregion południowy,PL2
450,450,PL0 28,PL,1628311157.0,5105651514,POINT (1628311157 5105651514),PL,Makroregion południowo-zachodni,PL5
451,451,PL0 29,PL,1964904487.0,5252222716,POINT (1964904487 5252222716),PL,Makroregion województwo mazowieckie,PL9
