,p_nom_max,weight,p_nom,capital_cost,carrier,efficiency,co2_fac,p_nom_extendable,bus,marginal_cost,control,p_nom_opt,type,p_nom_min,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,index,old_index,country,bidding_zone
1990,257.4401237,23.49487308,0.0,55064.07142,solar,1.0,0.0,True,GB5 19,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,266,GB5 19,UK,UK
1991,8772.003715,2766.84171,0.0,109295.5693,onwind,1.0,0.0,True,GB5 2,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,267,GB5 2,UK,UK
1992,5419.085171,485.1455799,0.0,55064.07142,solar,1.0,0.0,True,GB5 2,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,267,GB5 2,UK,UK
1993,1745.086249,610.4687146,0.0,109295.5693,onwind,1.0,0.0,True,GB5 20,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,268,GB5 20,UK,UK
1994,2080.426761,192.2291816,0.0,55064.07142,solar,1.0,0.0,True,GB5 20,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,268,GB5 20,UK,UK
1995,inf,0.0,1895.0,0.0,CCGT,0.5,0.2052,False,GB5 21,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,269,GB5 21,UK,UK
1996,2394.501151,1092.379499,0.0,201043.2817,offwind-ac,1.0,0.0,True,GB5 21,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,269,GB5 21,UK,UK
1997,5767.731041,3196.754286,0.0,218982.7098,offwind-dc,1.0,0.0,True,GB5 21,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,269,GB5 21,UK,UK
1998,9522.570999,3008.489632,0.0,109295.5693,onwind,1.0,0.0,True,GB5 21,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,269,GB5 21,UK,UK
1999,5991.166305,523.0420072,0.0,55064.07142,solar,1.0,0.0,True,GB5 21,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,269,GB5 21,UK,UK
2000,9547.787763,4863.101102,0.0,218852.2808,offwind-ac,1.0,0.0,True,GB5 22,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,270,GB5 22,UK,UK
2001,2104.455297,1272.708777,0.0,227036.1942,offwind-dc,1.0,0.0,True,GB5 22,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,270,GB5 22,UK,UK
