index;name;country_y;LON;LAT;geometry_y;bidding_zone_y;NUTS_NAME;NUTS_ID;BZ2;p_nom;carrier;marginal_cost;efficiency
87;DE0 134;DE;8554924439;4939270193;POINT (8554924439 4939270193);DE;Baden-Württemberg;DE1;DEII2;0;onwind;0.015;1
87;DE0 134;DE;8554924439;4939270193;POINT (8554924439 4939270193);DE;Baden-Württemberg;DE1;DEII2;0.643;ror;0;0.9
87;DE0 134;DE;8554924439;4939270193;POINT (8554924439 4939270193);DE;Baden-Württemberg;DE1;DEII2;0;solar;0.01;1
88;DE0 135;DE;1005043;499171765;POINT (1005043 499171765);DE;Bayern;DE2;DEII2;1.279.022.141;nuclear;1.690.207.715;0.337
88;DE0 135;DE;1005043;499171765;POINT (1005043 499171765);DE;Bayern;DE2;DEII2;0;onwind;0.015;1
88;DE0 135;DE;1005043;499171765;POINT (1005043 499171765);DE;Bayern;DE2;DEII2;60.949;ror;0;0.9
88;DE0 135;DE;1005043;499171765;POINT (1005043 499171765);DE;Bayern;DE2;DEII2;0;solar;0.01;1
89;DE0 136;DE;8925018;48806863;POINT (8925018 48806863);DE;Baden-Württemberg;DE1;DEII2;95;OCGT;5.838.461.538;0.39
89;DE0 136;DE;8925018;48806863;POINT (8925018 48806863);DE;Baden-Württemberg;DE1;DEII2;0;onwind;0.015;1
89;DE0 136;DE;8925018;48806863;POINT (8925018 48806863);DE;Baden-Württemberg;DE1;DEII2;0.84403;ror;0;0.9
89;DE0 136;DE;8925018;48806863;POINT (8925018 48806863);DE;Baden-Württemberg;DE1;DEII2;0;solar;0.01;1
90;DE0 137;DE;12659683;510905785;POINT (12659683 510905785);DE;Sachsen;DED;DEII1;46.6;OCGT;5.838.461.538;0.39
90;DE0 137;DE;12659683;510905785;POINT (12659683 510905785);DE;Sachsen;DED;DEII1;17;oil;1.302.264.631;0.393
90;DE0 137;DE;12659683;510905785;POINT (12659683 510905785);DE;Sachsen;DED;DEII1;0;onwind;0.015;1
90;DE0 137;DE;12659683;510905785;POINT (12659683 510905785);DE;Sachsen;DED;DEII1;3.985;ror;0;0.9
90;DE0 137;DE;12659683;510905785;POINT (12659683 510905785);DE;Sachsen;DED;DEII1;0;solar;0.01;1
91;DE0 138;DE;7193527333;51450672;POINT (7193527333 51450672);DE;Nordrhein-Westfalen;DEA;DEII2;82;CCGT;47.2;0.5
91;DE0 138;DE;7193527333;51450672;POINT (7193527333 51450672);DE;Nordrhein-Westfalen;DEA;DEII2;64.7;OCGT;5.838.461.538;0.39
91;DE0 138;DE;7193527333;51450672;POINT (7193527333 51450672);DE;Nordrhein-Westfalen;DEA;DEII2;15;biomass;1.495.726.496;0.468
91;DE0 138;DE;7193527333;51450672;POINT (7193527333 51450672);DE;Nordrhein-Westfalen;DEA;DEII2;5.596.389.979;coal;2.410.344.828;0.464
91;DE0 138;DE;7193527333;51450672;POINT (7193527333 51450672);DE;Nordrhein-Westfalen;DEA;DEII2;60;oil;1.302.264.631;0.393
91;DE0 138;DE;7193527333;51450672;POINT (7193527333 51450672);DE;Nordrhein-Westfalen;DEA;DEII2;0;onwind;0.015;1
91;DE0 138;DE;7193527333;51450672;POINT (7193527333 51450672);DE;Nordrhein-Westfalen;DEA;DEII2;1.04;ror;0;0.9
91;DE0 138;DE;7193527333;51450672;POINT (7193527333 51450672);DE;Nordrhein-Westfalen;DEA;DEII2;0;solar;0.01;1
92;DE0 139;DE;9235839667;4850959433;POINT (9235839667 4850959433);DE;Baden-Württemberg;DE1;DEII2;9.8;CCGT;47.2;0.5
92;DE0 139;DE;9235839667;4850959433;POINT (9235839667 4850959433);DE;Baden-Württemberg;DE1;DEII2;13.4;OCGT;5.838.461.538;0.39
92;DE0 139;DE;9235839667;4850959433;POINT (9235839667 4850959433);DE;Baden-Württemberg;DE1;DEII2;0;onwind;0.015;1
92;DE0 139;DE;9235839667;4850959433;POINT (9235839667 4850959433);DE;Baden-Württemberg;DE1;DEII2;13.217;ror;0;0.9
92;DE0 139;DE;9235839667;4850959433;POINT (9235839667 4850959433);DE;Baden-Württemberg;DE1;DEII2;0;solar;0.01;1
93;DE0 14;DE;6762543;51127935;POINT (6762543 51127935);DE;Nordrhein-Westfalen;DEA;DEII2;586;CCGT;47.2;0.5
93;DE0 14;DE;6762543;51127935;POINT (6762543 51127935);DE;Nordrhein-Westfalen;DEA;DEII2;1551.1;OCGT;5.838.461.538;0.39
93;DE0 14;DE;6762543;51127935;POINT (6762543 51127935);DE;Nordrhein-Westfalen;DEA;DEII2;160;coal;2.410.344.828;0.464
93;DE0 14;DE;6762543;51127935;POINT (6762543 51127935);DE;Nordrhein-Westfalen;DEA;DEII2;4773;lignite;1.348.769.575;0.447
93;DE0 14;DE;6762543;51127935;POINT (6762543 51127935);DE;Nordrhein-Westfalen;DEA;DEII2;0;onwind;0.015;1
93;DE0 14;DE;6762543;51127935;POINT (6762543 51127935);DE;Nordrhein-Westfalen;DEA;DEII2;0.135;ror;0;0.9
93;DE0 14;DE;6762543;51127935;POINT (6762543 51127935);DE;Nordrhein-Westfalen;DEA;DEII2;0;solar;0.01;1
94;DE0 140;DE;8853607;52491028;POINT (8853607 52491028);DE;Niedersachsen;DE9;DEII1;56;OCGT;5.838.461.538;0.39
94;DE0 140;DE;8853607;52491028;POINT (8853607 52491028);DE;Niedersachsen;DE9;DEII1;875;coal;2.410.344.828;0.464
94;DE0 140;DE;8853607;52491028;POINT (8853607 52491028);DE;Niedersachsen;DE9;DEII1;0;onwind;0.015;1
94;DE0 140;DE;8853607;52491028;POINT (8853607 52491028);DE;Niedersachsen;DE9;DEII1;0;solar;0.01;1
95;DE0 141;DE;144195555;51663848;POINT (144195555 51663848);DE;Brandenburg;DE4;DEII1;4364;lignite;1.348.769.575;0.447
95;DE0 141;DE;144195555;51663848;POINT (144195555 51663848);DE;Brandenburg;DE4;DEII1;0;onwind;0.015;1
95;DE0 141;DE;144195555;51663848;POINT (144195555 51663848);DE;Brandenburg;DE4;DEII1;38.1;ror;0;0.9
95;DE0 141;DE;144195555;51663848;POINT (144195555 51663848);DE;Brandenburg;DE4;DEII1;0;solar;0.01;1
96;DE0 142;DE;10452118;48460173;POINT (10452118 48460173);DE;Bayern;DE2;DEII2;1288;nuclear;1.690.207.715;0.337
96;DE0 142;DE;10452118;48460173;POINT (10452118 48460173);DE;Bayern;DE2;DEII2;0;onwind;0.015;1
96;DE0 142;DE;10452118;48460173;POINT (10452118 48460173);DE;Bayern;DE2;DEII2;22.021;ror;0;0.9
96;DE0 142;DE;10452118;48460173;POINT (10452118 48460173);DE;Bayern;DE2;DEII2;0;solar;0.01;1
97;DE0 143;DE;8691559;51707459;POINT (8691559 51707459);DE;Nordrhein-Westfalen;DEA;DEII2;0;onwind;0.015;1
97;DE0 143;DE;8691559;51707459;POINT (8691559 51707459);DE;Nordrhein-Westfalen;DEA;DEII2;0;solar;0.01;1
98;DE0 144;DE;9621734667;5357495333;POINT (9621734667 5357495333);DE;Niedersachsen;DE9;DEII1;260;coal;2.410.344.828;0.464
98;DE0 144;DE;9621734667;5357495333;POINT (9621734667 5357495333);DE;Niedersachsen;DE9;DEII1;101;oil;1.302.264.631;0.393
98;DE0 144;DE;9621734667;5357495333;POINT (9621734667 5357495333);DE;Niedersachsen;DE9;DEII1;0;onwind;0.015;1
98;DE0 144;DE;9621734667;5357495333;POINT (9621734667 5357495333);DE;Niedersachsen;DE9;DEII1;0;solar;0.01;1
99;DE0 145;DE;9350739;49028864;POINT (9350739 49028864);DE;Baden-Württemberg;DE1;DEII2;0;onwind;0.015;1
99;DE0 145;DE;9350739;49028864;POINT (9350739 49028864);DE;Baden-Württemberg;DE1;DEII2;0;solar;0.01;1
100;DE0 146;DE;9325223861;4876375242;POINT (9325223861 4876375242);DE;Baden-Württemberg;DE1;DEII2;282.2;OCGT;5.838.461.538;0.39
100;DE0 146;DE;9325223861;4876375242;POINT (9325223861 4876375242);DE;Baden-Württemberg;DE1;DEII2;881.6;coal;2.410.344.828;0.464
100;DE0 146;DE;9325223861;4876375242;POINT (9325223861 4876375242);DE;Baden-Württemberg;DE1;DEII2;69.9;oil;1.302.264.631;0.393
100;DE0 146;DE;9325223861;4876375242;POINT (9325223861 4876375242);DE;Baden-Württemberg;DE1;DEII2;0;onwind;0.015;1
100;DE0 146;DE;9325223861;4876375242;POINT (9325223861 4876375242);DE;Baden-Württemberg;DE1;DEII2;0.76;ror;0;0.9
100;DE0 146;DE;9325223861;4876375242;POINT (9325223861 4876375242);DE;Baden-Württemberg;DE1;DEII2;0;solar;0.01;1
101;DE0 147;DE;10829773;4862837;POINT (10829773 4862837);DE;Bayern;DE2;DEII2;0;onwind;0.015;1
101;DE0 147;DE;10829773;4862837;POINT (10829773 4862837);DE;Bayern;DE2;DEII2;62.888;ror;0;0.9
101;DE0 147;DE;10829773;4862837;POINT (10829773 4862837);DE;Bayern;DE2;DEII2;0;solar;0.01;1
102;DE0 148;DE;8544617;50209428;POINT (8544617 50209428);DE;Hessen;DE7;DEII2;96.5;OCGT;5.838.461.538;0.39
102;DE0 148;DE;8544617;50209428;POINT (8544617 50209428);DE;Hessen;DE7;DEII2;0;onwind;0.015;1
102;DE0 148;DE;8544617;50209428;POINT (8544617 50209428);DE;Hessen;DE7;DEII2;0;solar;0.01;1
103;DE0 149;DE;8000793;5355581;POINT (8000793 5355581);DE;Niedersachsen;DE9;DEII1;1488;coal;2.410.344.828;0.464
103;DE0 149;DE;8000793;5355581;POINT (8000793 5355581);DE;Niedersachsen;DE9;DEII1;0;offwind-ac;0.015;1
103;DE0 149;DE;8000793;5355581;POINT (8000793 5355581);DE;Niedersachsen;DE9;DEII1;56;oil;1.302.264.631;0.393
103;DE0 149;DE;8000793;5355581;POINT (8000793 5355581);DE;Niedersachsen;DE9;DEII1;0;onwind;0.015;1
103;DE0 149;DE;8000793;5355581;POINT (8000793 5355581);DE;Niedersachsen;DE9;DEII1;0;solar;0.01;1
